,subject,group,trial,img,estX,estY,rt,scaledX,scaledY,baseAngle,baseLen,sideLen,height,leftX,leftY,rightX,rightY,topX,topY
0,0,1,practice,practice,143.5,294.0,5575.0,0.5035087719298246,0.49473684210526314,56,0.66,0.5901362444905621,0.4892451196092042,0.16999999999999998,0,0.8300000000000001,0,0.5,0.4892451196092042
1,0,1,0,6,141.5,408.0,7426.0,0.4964912280701754,0.09473684210526316,30,0.5,0.28867513459481287,0.1443375672974064,0.25,0,0.75,0,0.5,0.1443375672974064
2,0,1,1,1,142.5,423.0,6178.0,0.5,0.042105263157894736,45,0.1,0.07071067811865475,0.049999999999999996,0.45,0,0.55,0,0.5,0.049999999999999996
3,0,1,2,0,142.5,426.0,7368.0,0.5,0.031578947368421054,30,0.1,0.057735026918962574,0.028867513459481284,0.45,0,0.55,0,0.5,0.028867513459481284
4,0,1,3,5,142.5,393.0,8877.0,0.5,0.14736842105263157,60,0.25,0.24999999999999994,0.2165063509461096,0.375,0,0.625,0,0.5,0.2165063509461096
5,0,1,4,7,141.5,390.0,9374.0,0.4964912280701754,0.15789473684210525,45,0.5,0.35355339059327373,0.24999999999999994,0.25,0,0.75,0,0.5,0.24999999999999994
6,0,1,5,4,141.5,409.0,6463.0,0.4964912280701754,0.0912280701754386,45,0.25,0.17677669529663687,0.12499999999999997,0.375,0,0.625,0,0.5,0.12499999999999997
7,0,1,6,14,149.5,222.0,27837.0,0.5245614035087719,0.7473684210526316,60,1.0,0.9999999999999998,0.8660254037844384,0.0,0,1.0,0,0.5,0.8660254037844384
8,0,1,7,3,142.5,418.0,7748.0,0.5,0.05964912280701754,30,0.25,0.14433756729740643,0.0721687836487032,0.375,0,0.625,0,0.5,0.0721687836487032
9,0,1,8,10,143.5,356.0,7989.0,0.5035087719298246,0.2771929824561403,45,0.75,0.5303300858899106,0.37499999999999994,0.125,0,0.875,0,0.5,0.37499999999999994
10,0,1,9,3,143.5,419.0,7446.0,0.5035087719298246,0.056140350877192984,30,0.25,0.14433756729740643,0.0721687836487032,0.375,0,0.625,0,0.5,0.0721687836487032
11,0,1,10,6,142.5,407.0,12239.0,0.5,0.09824561403508772,30,0.5,0.28867513459481287,0.1443375672974064,0.25,0,0.75,0,0.5,0.1443375672974064
